paper_label,step,correct_token_entropy_mean,wrong_token_entropy_mean,entropy_gap_wrong_minus_correct,correct_top1_prob_mean,wrong_top1_prob_mean,top1_gap_correct_minus_wrong,correct_n,wrong_n
Base baseline (n=8),0,0.32654129134284127,0.9296762540533736,0.6031349627105324,0.8992886499122337,0.8159588736456793,0.08332977626655436,27,37
Base baseline (n=8),6,0.305296667796724,1.3747775281469028,1.0694808603501789,0.9037485806381002,0.7488351315259933,0.1549134491121068,34,30
Base baseline (n=8),12,0.36186693211396537,0.5780924646293416,0.21622553251537624,0.8973596394062042,0.8564208272625419,0.04093881214366235,30,34
Base baseline (n=8),18,0.25453273891597183,0.34918616822472326,0.09465342930875142,0.9157243467666007,0.8969693537111636,0.018754993055437152,37,27
Base baseline (n=8),24,0.20440805239809884,0.2637199947708531,0.05931194237275428,0.92761390209198,0.9147710015899256,0.012842900502054388,45,19
Base baseline (n=8),30,0.21923827876647314,0.31158599723130465,0.0923477184648315,0.9254811579982439,0.905024092644453,0.020457065353790882,48,16
Base baseline (n=8),36,0.18648023287887158,0.2435780026846462,0.057097769805774606,0.9346724230310192,0.9233924945195516,0.01127992851146753,46,18
Base baseline (n=8),42,0.16917573234864644,0.2365657851099968,0.06739005276135035,0.9390362598458115,0.9223711450894674,0.016665114756344135,49,15
Base baseline (n=8),48,0.1661934906049915,0.2470450152953466,0.08085152469035509,0.939386134562285,0.9196175138155619,0.019768620746723142,46,18
Base baseline (n=8),54,0.19258815186972522,0.23398455679416658,0.041396404924441355,0.9313788158552987,0.9205432613690694,0.010835554486229304,49,15
Base baseline (n=8),60,0.17035629250565354,0.3021281192700068,0.13177182676435328,0.9387342151330442,0.9087455749511719,0.029988640181872306,49,15
Base baseline (n=8),66,0.17899586838118883,0.2709243615468343,0.09192849316564547,0.9370543701308114,0.9160017728805542,0.02105259725025721,49,15
Base baseline (n=8),72,0.18968526646494865,0.3061886051935809,0.11650333872863222,0.9329715704917908,0.9103496883596692,0.022621882132121574,50,14
Base baseline (n=8),78,0.1908199522982944,0.3072382781654596,0.11641832586716522,0.9342806718566201,0.9083132803440094,0.025967391512610738,44,20
Base baseline (n=8),84,0.18550815992057323,0.22917945558826128,0.04367129566768804,0.934025798852627,0.9235489467779795,0.010476852074647547,52,12
Base baseline (n=8),90,0.16504165578795515,0.24329937746127447,0.07825772167331932,0.9399533751218215,0.9185154239336649,0.021437951188156612,46,18
Base baseline (n=8),96,0.1753455050131108,0.19285790885196014,0.017512403838849333,0.9379647437562334,0.9332551079637864,0.004709635792446987,47,17
Base baseline (n=8),102,0.17248477578163146,0.2161064078765256,0.04362163209489414,0.9375892865657807,0.9272200167179108,0.0103692698478699,50,14
Base baseline (n=8),108,0.1720005471972709,0.2506969952408005,0.07869644804352963,0.9372987265282489,0.9185956365921918,0.01870308993605707,47,17
Base baseline (n=8),114,0.18368501596980624,0.2722095384409553,0.08852452247114906,0.9348300867610507,0.9160418384953549,0.018788248265695806,45,19
Base baseline (n=8),120,0.1680580571293831,0.23074936709905924,0.06269130996967615,0.9389584951930576,0.9219445366608469,0.01701395853221077,45,19
Base baseline (n=8),126,0.16430196745528114,0.19918179363012314,0.034879826174842005,0.940736836857266,0.9321701228618622,0.008566713995403763,54,10
Base baseline (n=8),132,0.17017857380211354,0.25784076909933773,0.08766219529722419,0.9384288740158081,0.9181429828916278,0.020285891124180333,50,14
Base baseline (n=8),138,0.19475045465693183,0.2152860830227534,0.020535628365821568,0.9311982624384821,0.9288874983787536,0.0023107640597285206,49,15
Base baseline (n=8),144,0.16939864629039578,0.280546686397149,0.11114804010675325,0.9395541431857091,0.9165097429202154,0.023044400265493703,51,13
Base baseline (n=8),150,0.1652575798478781,0.19148343056440353,0.026225850716525445,0.9398739793721367,0.9348660936722388,0.005007885699897852,51,13
Base baseline (n=8),156,0.20186477419402865,0.297586364573554,0.09572159037952532,0.9302186184459262,0.9114370157844142,0.018781602661512076,45,19
Base baseline (n=8),162,0.181101483553648,0.1969969171498503,0.015895433596202296,0.9342196726799011,0.9368947403771537,-0.0026750676972525644,50,14
Base baseline (n=8),168,0.173115170489137,0.22854116621116796,0.05542599572203097,0.937788174702571,0.9271162301301956,0.010671944572375414,52,12
Base baseline (n=8),174,0.16346302400438154,0.2175140415628751,0.054051017558493564,0.9402003166626911,0.9266719182332357,0.013528398429455413,49,15
Base baseline (n=8),180,0.16477956226531495,0.23669746211346457,0.07191789984814961,0.9393757607074494,0.9245197106810177,0.014856050026431755,47,17
Base full-data,0,0.32654129134284127,0.9296762540533736,0.6031349627105324,0.8992886499122337,0.8159588736456793,0.08332977626655436,27,37
Base full-data,6,0.2648364881674449,0.6365147281218978,0.3716782399544529,0.9132999956607819,0.8483222617822535,0.06497773387852845,30,34
Base full-data,12,0.36594655833074025,0.7502324909999453,0.384285932669205,0.8981676476342337,0.834545558896558,0.06362208873767572,35,29
Base full-data,18,0.3049989350744196,0.6348904247085253,0.3298914896341057,0.9014389305501371,0.8560966098750079,0.04534232067512922,37,27
Base full-data,24,0.27357933753066593,1.0264205099748713,0.7528411724442055,0.9165541479984919,0.8021365281726632,0.11441761982582865,36,28
Base full-data,30,0.22985168149073917,0.5784796413622404,0.3486279598715012,0.9218382557233175,0.8675912540209921,0.054247001702325326,45,19
Base full-data,36,0.20757797587177026,0.2935816136499246,0.08600363777815431,0.928523063659668,0.9098828633626302,0.018640200297037723,46,18
Base full-data,42,0.2393450081348419,0.28843505641347483,0.04909004827863292,0.9211482167243957,0.9101963419663278,0.010951874758067914,45,19
Base full-data,48,0.1872873443948186,0.27314020362165237,0.08585285922683378,0.9334493810715883,0.9113379551304711,0.022111425941117147,46,18
Base full-data,54,0.19559314846992493,0.33240760024636984,0.1368144517764449,0.931624228755633,0.8985554836690426,0.03306874508659041,48,16
Base full-data,60,0.20211105689406395,0.19010246012892043,-0.012008596765143514,0.929967212677002,0.9355203041008541,-0.0055530914238520745,50,14
Base full-data,66,0.19332631126694058,0.5853014037840896,0.391975092517149,0.9319430667421092,0.8651783366998037,0.06676473004230554,46,18
Base full-data,72,0.18415992096066475,0.20087719282933644,0.016717271868671696,0.9343828582763671,0.9311962170260293,0.0031866412503378516,50,14
Base full-data,78,0.1972020335628518,0.25543680787086487,0.058234774308013076,0.9318997551287923,0.9141213148832321,0.01777844024556019,56,8
Base full-data,84,0.1741814163266396,0.22052802989880244,0.046346613572162826,0.937166943842051,0.9258363087972005,0.011330635044850546,49,15
Base full-data,90,0.16424523050395343,0.2759065081675847,0.11166127766363129,0.9399273831110734,0.9163978745539983,0.02352950855707503,52,12
Base full-data,96,0.17659132020039991,0.20488431056340536,0.02829299036300545,0.9372981266541914,0.9293496939871047,0.00794843266708678,55,9
Base full-data,102,0.1753213457018137,0.21833865770271846,0.04301731200090475,0.9371854078769684,0.925986396414893,0.011199011462075359,50,14
Base full-data,108,0.18213450881066146,0.3090572230517864,0.12692271424112495,0.9352504478560554,0.9054787814617157,0.029771666394339702,54,10
Base full-data,114,0.17203273211738893,0.343679535202682,0.1716468030852931,0.9375644379428455,0.88833037763834,0.0492340603045055,56,8
Base full-data,120,0.19162875821567932,0.18708460236137564,-0.0045441558543036775,0.9320936079295177,0.934445402838967,-0.0023517949094493673,53,11
Base full-data,126,0.1643664569339969,0.19214194102419746,0.02777548409020056,0.9402074152773077,0.9333097537358602,0.006897661541447442,55,9
Base full-data,132,0.18055507396252787,0.20890022466580074,0.02834515070327287,0.9341129161873643,0.9292906999588013,0.004822216228562937,49,15
Base full-data,138,0.16541335995901715,0.19390836440854603,0.028495004449528877,0.9395368933677674,0.936642607053121,0.002894286314646388,55,9
Base full-data,144,0.16564193720880308,0.1994642530168806,0.03382231580807751,0.9401549330928869,0.9336401564734322,0.006514776619454654,57,7
Base full-data,150,0.17987563633001769,0.19090718838075796,0.011031552050740273,0.9354560638849552,0.934696227312088,0.0007598365728671563,52,12
Base full-data,156,0.17074905175204372,0.36325443994540435,0.19250538819336063,0.9370309593630772,0.9068352488371042,0.03019571052597303,51,13
Base full-data,162,0.16921416192985417,0.1917419752904347,0.022527813360580545,0.9379957161451641,0.9336425406592233,0.00435317548594083,57,7
Base full-data,168,0.1649363745147219,0.24312154203653336,0.07818516752181146,0.9392998390472852,0.9192330688238144,0.02006677022347081,52,12
Base full-data,174,0.16381550109330215,0.2051190293648026,0.04130352827150047,0.9402144033953829,0.929781892082908,0.010432511312474912,53,11
Base full-data,180,0.16239605610277139,0.2089297610979814,0.04653370499521001,0.9399718198121763,0.9294944680654086,0.010477351746767671,51,13
Instruct baseline (n=8),0,0.10371608287096024,0.19871788596113524,0.095001803090175,0.9625738417280132,0.9605156977971395,0.002058143930873668,58,6
Instruct baseline (n=8),6,0.09514802522384204,1.9524514619261026,1.8573034367022605,0.9651819467544556,0.7719558738172054,0.19322607293725014,52,12
Instruct baseline (n=8),12,0.09960712734283063,0.3352637557046754,0.2356566283618448,0.9654649841158014,0.9473521113395691,0.018112872776232303,57,7
Instruct baseline (n=8),18,0.08769088875163686,1.0138613167736266,0.9261704280219897,0.9674036145210266,0.8658636278576322,0.10153998666339448,55,9
Instruct baseline (n=8),24,0.12932740318189775,1.0962950000539422,0.9669675968720445,0.9605746428881373,0.8626566790044308,0.09791796388370655,56,8
Instruct baseline (n=8),30,0.0850063097058681,0.587377667427063,0.5023713577211949,0.9682064652442932,0.9181264468601772,0.05008001838411602,57,7
Instruct baseline (n=8),36,0.09696795618920415,0.6380335375666618,0.5410655813774576,0.9651391660725629,0.8992305278778077,0.06590863819475523,54,10
Instruct baseline (n=8),42,0.09887847927483645,0.19396239519119263,0.09508391591635618,0.964420024915175,0.960362884733412,0.004057140181762953,55,9
Instruct baseline (n=8),48,0.08377454684753168,0.492108947464398,0.4083344006168663,0.9682860552218923,0.915281423500606,0.05300463172128622,57,7
Instruct baseline (n=8),54,0.09248724488312737,0.6514216938189098,0.5589344489357824,0.9665309148922301,0.9161909137453351,0.050340001146894964,57,7
Instruct baseline (n=8),60,0.10344816345656127,0.6119760764496667,0.5085279129931054,0.9638758364476656,0.9190368056297302,0.04483903081793539,57,7
Instruct baseline (n=8),66,0.09791243756026552,0.4912026545831135,0.393290217022848,0.9651920178480315,0.9299976485116142,0.0351943693364174,57,7
